,p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene
Ppargc1a.14,0.355135428,-0.022869662,0,0.005,1,14,Ppargc1a
C730045M19Rik.14,0.355135428,-0.01474646,0,0.005,1,14,C730045M19Rik
Gm46323.14,0.355135428,-0.019225834,0,0.005,1,14,Gm46323
Myoz1.14,0.355135428,-0.066766219,0,0.005,1,14,Myoz1
Gng7.14,0.355301935,-0.047520144,0.006,0.014,1,14,Gng7
Lrrc41.14,0.355430204,0.006708213,0.011,0.006,1,14,Lrrc41
6530402F18Rik.14,0.355445542,-0.013893616,0.017,0.01,1,14,6530402F18Rik
Cd36.14,0.355876041,-0.347418479,0.023,0.035,1,14,Cd36
Pcdhb21.14,0.356012502,-0.016610435,0.017,0.01,1,14,Pcdhb21
Npr3.14,0.356086683,-0.046867333,0.006,0.014,1,14,Npr3
Zfp420.14,0.35637144,-0.028299994,0.023,0.014,1,14,Zfp420
Col4a3.14,0.357142216,-0.034643844,0.023,0.014,1,14,Col4a3
Crispld2.14,0.357497947,-0.728609201,0.239,0.229,1,14,Crispld2
Fhl1.14,0.357658731,-0.21497671,0.398,0.304,1,14,Fhl1
Lrrc56.14,0.357796041,-0.006084703,0.011,0.006,1,14,Lrrc56
Gm50087.14,0.357928986,-0.016501007,0,0.005,1,14,Gm50087
Svopl.14,0.357928986,-0.017688793,0,0.005,1,14,Svopl
2900060B14Rik.14,0.357928986,-0.020982105,0,0.005,1,14,2900060B14Rik
Gm43023.14,0.357928986,-0.01641263,0,0.005,1,14,Gm43023
Ccl5.14,0.357928986,-0.033284458,0,0.005,1,14,Ccl5
Gm45407.14,0.358117276,-0.045400741,0.028,0.019,1,14,Gm45407
Gm19426.14,0.358247798,-0.007278282,0.011,0.006,1,14,Gm19426
Hspa12b.14,0.358699391,-0.102017901,0.023,0.035,1,14,Hspa12b
Cdh9.14,0.358736077,-0.006194906,0.017,0.01,1,14,Cdh9
Gm48146.14,0.358982668,-0.008497677,0.011,0.006,1,14,Gm48146
Zfp28.14,0.359208972,-0.009847889,0.011,0.006,1,14,Zfp28
Scin.14,0.359548596,-0.010888536,0.011,0.006,1,14,Scin
A530041M06Rik.14,0.35960522,-0.009159088,0.011,0.006,1,14,A530041M06Rik
Dph2.14,0.360359921,0.002908909,0.017,0.01,1,14,Dph2
Gm6330.14,0.36039854,-0.016204898,0.011,0.006,1,14,Gm6330
Gjc2.14,0.360752511,-0.017760407,0,0.005,1,14,Gjc2
Tcf15.14,0.360752511,-0.038489842,0,0.005,1,14,Tcf15
Spata2l.14,0.360752511,-0.015366414,0,0.005,1,14,Spata2l
Lypd2.14,0.360752511,-0.035327347,0,0.005,1,14,Lypd2
Abra.14,0.360752511,-0.040438921,0,0.005,1,14,Abra
Gm17823.14,0.360752511,-0.015843972,0,0.005,1,14,Gm17823
Gm17057.14,0.360752511,-0.017366436,0,0.005,1,14,Gm17057
Hmgcll1.14,0.360752511,-0.018617311,0,0.005,1,14,Hmgcll1
Gm43336.14,0.360752511,-0.021305279,0,0.005,1,14,Gm43336
Adamts16.14,0.360962261,-0.050050238,0.045,0.032,1,14,Adamts16
Zfp97.14,0.361629249,-0.020980928,0.017,0.01,1,14,Zfp97
Gstt2.14,0.361934151,-0.149613953,0.034,0.047,1,14,Gstt2
Gm11737.14,0.362195736,0.014671705,0.006,0.002,1,14,Gm11737
Baiap2l1.14,0.362406869,-0.022576851,0.023,0.014,1,14,Baiap2l1
Atoh8.14,0.362726278,-0.003623206,0.017,0.01,1,14,Atoh8
Cd248.14,0.362849908,-0.350446876,0.761,0.597,1,14,Cd248
Sh3gl2.14,0.363100434,0.006334354,0.006,0.002,1,14,Sh3gl2
Yod1.14,0.363129942,-0.050509642,0.04,0.028,1,14,Yod1
Gm50432.14,0.363281543,0.004568244,0.006,0.002,1,14,Gm50432
Iba57.14,0.363371533,0.001818726,0.011,0.006,1,14,Iba57
Cox20b.14,0.363462709,0.005583227,0.006,0.002,1,14,Cox20b
5830448L01Rik.14,0.363462709,0.004742412,0.006,0.002,1,14,5830448L01Rik
Vmo1.14,0.363553313,0.0014229,0.006,0.002,1,14,Vmo1
Sh3bgr.14,0.363583973,-0.090242209,0.006,0.014,1,14,Sh3bgr
Plin4.14,0.363606518,-0.020349492,0,0.005,1,14,Plin4
Gm45257.14,0.363606518,-0.014796742,0,0.005,1,14,Gm45257
Sybu.14,0.363606518,-0.016764696,0,0.005,1,14,Sybu
Fxyd7.14,0.363606518,-0.018346765,0,0.005,1,14,Fxyd7
Ifi47.14,0.363674142,-0.172671431,0.119,0.092,1,14,Ifi47
Gm13556.14,0.363825209,0.001718825,0.006,0.002,1,14,Gm13556
