,p_val,avg_logFC,pct.1,pct.2,p_val_adj
Gdf6,0.288060833,-0.011421207,0.001,0.003,1
Ager,0.299392708,0.001603492,0.004,0.002,1
Wnt1,0.300770304,-0.002633589,0.004,0.002,1
Il27,0.301491225,-0.003687401,0,0.001,1
Inha,0.302298565,0.01228317,0.01,0.007,1
Ptprz1,0.302459887,-0.042035357,0.005,0.008,1
Siglecg,0.323526799,-0.003175165,0,0.001,1
Tnfsf14,0.324603524,-0.007038886,0.002,0.005,1
Pthlh,0.331870905,-0.0900899,0.039,0.046,1
Adgre5,0.332860563,0.003558676,0.061,0.052,1
Copa,0.333454922,-0.05136016,0.301,0.313,1
Epor,0.335339491,-0.004170604,0,0.001,1
Col19a1,0.335339491,-0.007527422,0,0.001,1
Pdgfc,0.350190416,-0.033755217,0.065,0.073,1
Psap,0.353994286,-0.006134743,0.523,0.542,1
Ephb6,0.357835659,-0.010354641,0.004,0.006,1
Gnrh1,0.359528838,-0.00160975,0.009,0.012,1
Tnfsf11,0.377600727,0.00178527,0.012,0.009,1
Efna4,0.380383942,-0.008771528,0.016,0.013,1
Rln1,0.385464371,0.01607182,0.002,0.001,1
Tgfb2,0.392788696,-0.030123942,0.215,0.225,1
Ccl4,0.404162983,-0.00985316,0,0.001,1
Crlf2,0.412741867,0.025204307,0.051,0.045,1
Fgf18,0.412806842,0.025805781,0.119,0.131,1
Eda,0.413654261,-0.001300125,0.031,0.037,1
Sct,0.414787494,-0.008156924,0.001,0.003,1
Lif,0.434736334,-0.002133179,0.01,0.013,1
Alcam,0.445374297,-0.016519307,0.007,0.01,1
Retn,0.452168035,0.005135656,0.002,0.001,1
Ace2,0.453222184,-0.006896034,0.002,0.001,1
Col6a2,0.454009544,-0.034712739,0.691,0.722,1
Nectin4,0.455629648,-0.002400536,0,0.001,1
Cklf,0.493937391,-0.047281747,0.043,0.048,1
Lefty1,0.503146461,-0.015201119,0.036,0.032,1
Cxcl16,0.513260486,-0.042469266,0.063,0.068,1
Wnt2b,0.542739136,-0.005679,0.004,0.003,1
Slurp1,0.5501743,0.045758906,0.002,0.002,1
Aimp1,0.564670372,-0.018312648,0.2,0.206,1
Col17a1,0.588627975,-0.010024521,0.001,0.002,1
Wnt4,0.589373842,0.001103445,0.004,0.003,1
Bmp4,0.640708625,0.019979251,0.072,0.067,1
