,p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene
Gm26873.8,0.861670288,0.0068936,0.008,0.007,1,8,Gm26873
Plekhh3.8,0.862097867,0.087653927,0.027,0.029,1,8,Plekhh3
Marcksl1.8,0.862115198,0.231495126,0.115,0.125,1,8,Marcksl1
Pgam5.8,0.863252355,0.04749902,0.043,0.045,1,8,Pgam5
Gm49759.8,0.863435533,0.020385046,0.006,0.007,1,8,Gm49759
Gm2011.8,0.863940576,0.002685789,0.008,0.009,1,8,Gm2011
Gm20045.8,0.864145856,0.030424556,0.01,0.01,1,8,Gm20045
Slc37a1.8,0.864492745,0.034306936,0.006,0.007,1,8,Slc37a1
Ankrd28.8,0.864908411,0.163380721,0.043,0.046,1,8,Ankrd28
Gm43668.8,0.865394691,-0.001580263,0.005,0.005,1,8,Gm43668
Rap1gap2.8,0.865507897,0.028208604,0.006,0.007,1,8,Rap1gap2
Rhbdd1.8,0.866062317,0.098662844,0.024,0.023,1,8,Rhbdd1
Mrps27.8,0.866427053,0.056531694,0.032,0.034,1,8,Mrps27
Opa3.8,0.866642978,0.182299459,0.061,0.065,1,8,Opa3
Eif1-ps1.8,0.867153056,0.12611875,0.038,0.038,1,8,Eif1-ps1
Noc4l.8,0.868680306,0.147070291,0.043,0.043,1,8,Noc4l
Ndufa11b.8,0.868983252,0.02696141,0.003,0.003,1,8,Ndufa11b
9430081H08Rik.8,0.869236688,0.117776967,0.005,0.005,1,8,9430081H08Rik
Gm42972.8,0.86951146,0.02314765,0.003,0.003,1,8,Gm42972
Ndufs1.8,0.869607869,0.12997346,0.096,0.103,1,8,Ndufs1
Gm12258.8,0.86964352,0.013476998,0.003,0.003,1,8,Gm12258
Gm7004.8,0.870154611,-0.006419589,0.003,0.004,1,8,Gm7004
Pdss1.8,0.870457132,0.035774316,0.021,0.022,1,8,Pdss1
Ctu1.8,0.870706969,0.013705567,0.01,0.01,1,8,Ctu1
Sart3.8,0.870908953,0.213998794,0.091,0.094,1,8,Sart3
Zfp446.8,0.871196779,0.046550892,0.011,0.011,1,8,Zfp446
Nup214.8,0.871387541,0.109108598,0.05,0.053,1,8,Nup214
Lmod3.8,0.871927567,-0.013480456,0.003,0.004,1,8,Lmod3
Alox5ap.8,0.8720873,0.023153662,0.003,0.003,1,8,Alox5ap
Gm15952.8,0.872200966,-0.002908954,0.002,0.002,1,8,Gm15952
Nupl2.8,0.872202861,0.055249135,0.013,0.014,1,8,Nupl2
Gm47976.8,0.872219431,0.001607894,0.003,0.003,1,8,Gm47976
Gm29773.8,0.872364295,-0.015766145,0.002,0.002,1,8,Gm29773
Gm10735.8,0.872772641,-0.004462395,0.002,0.002,1,8,Gm10735
A930029G22Rik.8,0.872854315,-0.001663466,0.002,0.002,1,8,A930029G22Rik
Toe1.8,0.872930309,0.042311227,0.019,0.02,1,8,Toe1
Gm38190.8,0.87293801,0.035916573,0.006,0.006,1,8,Gm38190
Nphp4.8,0.87299165,-0.002784791,0.003,0.004,1,8,Nphp4
Reep2.8,0.872995342,0.006496865,0.006,0.007,1,8,Reep2
Fa2h.8,0.873099343,-0.005254517,0.002,0.002,1,8,Fa2h
Tchh.8,0.87316902,-0.001787319,0.003,0.004,1,8,Tchh
Ccnb2-ps.8,0.873181022,-0.002180175,0.002,0.002,1,8,Ccnb2-ps
Dgkg.8,0.873181022,-0.002727773,0.002,0.002,1,8,Dgkg
Gm38344.8,0.873262702,-0.001907145,0.002,0.002,1,8,Gm38344
Eno1.8,0.873444667,0.163915812,0.144,0.158,1,8,Eno1
Aatk.8,0.873590875,0.015600796,0.006,0.007,1,8,Aatk
Gm43018.8,0.873671123,-0.000338672,0.002,0.002,1,8,Gm43018
Gm9806.8,0.873671123,-0.001020357,0.002,0.002,1,8,Gm9806
Man2c1os.8,0.873701166,0.001186492,0.003,0.004,1,8,Man2c1os
Surf6.8,0.873745957,0.129812399,0.048,0.051,1,8,Surf6
Gm16023.8,0.873764645,0.033250294,0.006,0.006,1,8,Gm16023
C8g.8,0.873834501,0.001324838,0.002,0.002,1,8,C8g
Mafa.8,0.873834501,0.00056657,0.002,0.002,1,8,Mafa
Gm50307.8,0.873916192,0.001426046,0.002,0.002,1,8,Gm50307
Kifc5b.8,0.873997884,0.002244812,0.002,0.002,1,8,Kifc5b
Rpl19-ps7.8,0.873997884,0.001846087,0.002,0.002,1,8,Rpl19-ps7
Rpl30-ps11.8,0.874079578,0.002416077,0.002,0.002,1,8,Rpl30-ps11
Gm15903.8,0.874242969,0.005382733,0.002,0.002,1,8,Gm15903
B3galt2.8,0.874324667,0.018756852,0.002,0.002,1,8,B3galt2
Gm42587.8,0.874324667,0.019560758,0.002,0.002,1,8,Gm42587
Gm42731.8,0.874324667,0.017706707,0.002,0.002,1,8,Gm42731
