,p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene
Fbn1.6,1.51E-203,0.943647851,0.961,0.76,2.67E-199,6,Fbn1
Mfap5.6,7.38E-183,0.809892877,0.977,0.794,1.31E-178,6,Mfap5
Pcsk6.6,4.70E-173,1.029589381,0.658,0.263,8.31E-169,6,Pcsk6
Stmn4.6,3.54E-163,0.940693178,0.336,0.073,6.27E-159,6,Stmn4
Igfbp6.6,1.05E-150,0.6638494,0.984,0.818,1.87E-146,6,Igfbp6
Cd34.6,5.43E-145,0.736098711,0.917,0.67,9.61E-141,6,Cd34
Cd55.6,1.52E-139,0.85423919,0.773,0.403,2.69E-135,6,Cd55
Fstl1.6,9.18E-120,0.54285626,0.985,0.896,1.63E-115,6,Fstl1
Cd248.6,4.08E-111,0.673306835,0.856,0.587,7.23E-107,6,Cd248
S100a6.6,4.79E-108,0.446714412,0.993,0.936,8.48E-104,6,S100a6
Sema3c.6,1.03E-106,0.707268646,0.787,0.455,1.83E-102,6,Sema3c
Axl.6,1.30E-105,0.751097269,0.736,0.443,2.29E-101,6,Axl
Cadm3.6,1.63E-102,0.744667468,0.489,0.197,2.88E-98,6,Cadm3
Tppp3.6,7.09E-100,0.717841222,0.83,0.595,1.26E-95,6,Tppp3
Pcolce2.6,2.98E-98,0.674878777,0.775,0.445,5.27E-94,6,Pcolce2
Tmem100.6,3.48E-95,0.734208514,0.669,0.356,6.16E-91,6,Tmem100
Ackr3.6,1.39E-91,0.590110808,0.84,0.564,2.46E-87,6,Ackr3
Myoc.6,9.12E-91,0.567971315,0.661,0.32,1.61E-86,6,Myoc
Fgf1.6,1.12E-90,0.530776072,0.222,0.053,1.99E-86,6,Fgf1
D630033O11Rik.6,3.66E-89,0.674277793,0.254,0.068,6.48E-85,6,D630033O11Rik
Efhd1.6,5.95E-89,0.695633832,0.439,0.174,1.05E-84,6,Efhd1
Limch1.6,3.80E-87,0.636085835,0.345,0.115,6.73E-83,6,Limch1
Pi16.6,7.46E-87,0.547181484,0.885,0.63,1.32E-82,6,Pi16
Nid1.6,6.81E-86,0.608225138,0.88,0.717,1.21E-81,6,Nid1
Clec3b.6,3.62E-84,0.508275069,0.924,0.737,6.41E-80,6,Clec3b
Thy1.6,1.46E-81,0.630698123,0.752,0.492,2.58E-77,6,Thy1
Ly6c1.6,1.60E-76,0.440315037,0.946,0.725,2.84E-72,6,Ly6c1
Scara5.6,1.11E-75,0.606975458,0.699,0.407,1.97E-71,6,Scara5
Gsn.6,5.09E-73,0.423867549,0.995,0.956,9.01E-69,6,Gsn
Adamts5.6,1.11E-72,0.609317991,0.784,0.56,1.97E-68,6,Adamts5
1700019D03Rik.6,3.80E-72,0.62294041,0.357,0.138,6.73E-68,6,1700019D03Rik
S100a10.6,6.88E-71,0.481215824,0.916,0.783,1.22E-66,6,S100a10
Mustn1.6,1.83E-66,0.538271756,0.345,0.133,3.24E-62,6,Mustn1
Zfp385a.6,1.72E-65,0.628549711,0.372,0.159,3.04E-61,6,Zfp385a
Crip1.6,1.81E-63,0.450112916,0.965,0.887,3.20E-59,6,Crip1
Pgf.6,3.10E-62,0.490791116,0.16,0.039,5.49E-58,6,Pgf
Tnxb.6,7.80E-61,0.582014163,0.725,0.502,1.38E-56,6,Tnxb
Mgp.6,3.99E-60,-1.722445257,0.428,0.633,7.07E-56,6,Mgp
Emilin2.6,4.06E-60,0.512124401,0.642,0.393,7.19E-56,6,Emilin2
Olfml2a.6,4.16E-60,0.524150501,0.172,0.045,7.37E-56,6,Olfml2a
Sdc2.6,4.05E-58,0.586590526,0.693,0.493,7.17E-54,6,Sdc2
Fam167a.6,2.12E-57,0.412543016,0.152,0.038,3.76E-53,6,Fam167a
Id3.6,2.47E-54,-0.874993295,0.463,0.689,4.37E-50,6,Id3
Btg2.6,5.07E-54,-0.712087387,0.553,0.758,8.97E-50,6,Btg2
Dpt.6,5.42E-54,0.331474373,0.982,0.864,9.59E-50,6,Dpt
Ahnak.6,1.58E-53,0.385932205,0.9,0.789,2.80E-49,6,Ahnak
Tmsb4x.6,3.53E-53,0.327561051,0.974,0.916,6.25E-49,6,Tmsb4x
Ly6a.6,7.64E-52,0.328438235,0.969,0.834,1.35E-47,6,Ly6a
Igfbp7.6,1.01E-51,-0.799160753,0.612,0.741,1.78E-47,6,Igfbp7
Efemp1.6,2.87E-51,0.446210042,0.725,0.46,5.08E-47,6,Efemp1
Nr4a1.6,5.82E-51,-0.781456858,0.336,0.586,1.03E-46,6,Nr4a1
Tmem176b.6,1.34E-50,-0.880196169,0.044,0.282,2.37E-46,6,Tmem176b
Plac8.6,4.85E-50,-0.93175325,0.134,0.386,8.58E-46,6,Plac8
S100a11.6,8.89E-50,0.381560453,0.922,0.822,1.57E-45,6,S100a11
Anxa2.6,2.38E-48,0.369358924,0.885,0.756,4.21E-44,6,Anxa2
Anxa3.6,2.45E-48,0.408579606,0.703,0.46,4.34E-44,6,Anxa3
Dpp4.6,3.38E-48,0.463208638,0.554,0.317,5.98E-44,6,Dpp4
Marcks.6,4.42E-48,0.35771444,0.916,0.815,7.82E-44,6,Marcks
Gstm1.6,7.22E-48,0.497959672,0.74,0.54,1.28E-43,6,Gstm1
Aebp1.6,8.84E-48,-0.630593533,0.716,0.808,1.56E-43,6,Aebp1
Ntn4.6,2.33E-47,0.504496153,0.301,0.13,4.12E-43,6,Ntn4
Lox.6,2.58E-47,-0.918458677,0.185,0.427,4.56E-43,6,Lox
Emb.6,4.99E-47,-0.81947877,0.059,0.293,8.82E-43,6,Emb
Krt80.6,5.78E-47,0.361195426,0.12,0.029,1.02E-42,6,Krt80
Lsp1.6,2.24E-46,0.523972989,0.705,0.512,3.96E-42,6,Lsp1
Ramp2.6,2.57E-46,0.540892667,0.51,0.305,4.56E-42,6,Ramp2
Cpxm1.6,2.29E-45,-0.768037345,0.225,0.463,4.06E-41,6,Cpxm1
Gpx3.6,3.19E-45,-0.750429025,0.667,0.803,5.64E-41,6,Gpx3
Ebf1.6,7.59E-45,0.483439683,0.724,0.552,1.34E-40,6,Ebf1
Fndc1.6,6.85E-44,0.424927908,0.811,0.651,1.21E-39,6,Fndc1
