,p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene
Hook3,0.000442877,0.044649928,0.371,0.351,1,0,Hook3
Esyt2,0.000443084,-0.061568011,0.223,0.25,1,0,Esyt2
Naaladl2,0.000443294,0.046255986,0.064,0.051,1,0,Naaladl2
Npepps,0.000443642,0.062177236,0.312,0.29,1,0,Npepps
Zpr1,0.000443721,-0.018153328,0.056,0.071,1,0,Zpr1
Tial1,0.000444231,-0.07260125,0.255,0.282,1,0,Tial1
Nmrk2,0.000445481,-0.029100381,0.002,0.006,1,0,Nmrk2
Nck2,0.000445654,-0.030427495,0.015,0.023,1,0,Nck2
Stk38l,0.000445823,-0.069823562,0.033,0.045,1,0,Stk38l
AI838599,0.000446035,-0.026332601,0.002,0.007,1,0,AI838599
Supt16,0.000446496,-0.078523125,0.208,0.233,1,0,Supt16
Bmp2k,0.000447501,0.04758287,0.071,0.057,1,0,Bmp2k
Dynlt1a,0.000448267,-0.005612468,0.004,0.009,1,0,Dynlt1a
Creb3l3,0.000449191,-0.009321831,0.008,0.015,1,0,Creb3l3
Cep112it,0.000449272,0.018354223,0.009,0.004,1,0,Cep112it
Hc,0.000449284,-0.019167546,0.003,0.007,1,0,Hc
Usp13,0.000450056,-0.020745418,0.013,0.021,1,0,Usp13
Swi5,0.000450418,-0.078545483,0.436,0.455,1,0,Swi5
Eif4a3,0.000451947,-0.054570347,0.205,0.232,1,0,Eif4a3
Ybx1-ps2,0.000452071,-0.015164706,0.02,0.03,1,0,Ybx1-ps2
Gm21399,0.000453408,-0.018460741,0.006,0.012,1,0,Gm21399
Exo1,0.000453634,-0.008370132,0,0.003,1,0,Exo1
Crebbp,0.000453925,0.054654905,0.277,0.255,1,0,Crebbp
Syn2,0.000453971,-0.013585152,0,0.003,1,0,Syn2
Zfp536,0.000454375,-0.015169441,0,0.003,1,0,Zfp536
2900076A07Rik,0.000454686,-0.013240076,0.002,0.007,1,0,2900076A07Rik
Matn3,0.000455791,-0.005872389,0,0.003,1,0,Matn3
Tmem127,0.000455836,0.078975921,0.203,0.184,1,0,Tmem127
B4galnt1,0.0004566,-0.003041276,0.002,0.006,1,0,B4galnt1
Tubg1,0.000457096,-0.025657147,0.028,0.04,1,0,Tubg1
Suv39h2,0.000457156,-0.012817243,0.006,0.012,1,0,Suv39h2
Gtf3c4,0.000458656,-0.031778794,0.018,0.026,1,0,Gtf3c4
Upp1,0.000458821,-0.012234062,0.001,0.004,1,0,Upp1
Slc48a1,0.000458892,-0.068001543,0.08,0.097,1,0,Slc48a1
Ccdc163,0.000459618,-0.028142333,0.02,0.03,1,0,Ccdc163
Pmpcb,0.000459784,-0.03373466,0.101,0.122,1,0,Pmpcb
Nynrin,0.000460198,0.041228255,0.039,0.029,1,0,Nynrin
Psap,0.000460466,-0.086647958,0.524,0.548,1,0,Psap
Suz12,0.000460714,-0.07642694,0.087,0.104,1,0,Suz12
Fbxo9,0.000461368,-0.050600028,0.086,0.104,1,0,Fbxo9
Smim12,0.0004632,-0.046688847,0.037,0.049,1,0,Smim12
Gm45643,0.000464716,0.009638568,0.007,0.003,1,0,Gm45643
Kcnab1,0.00046502,-0.02535982,0.004,0.009,1,0,Kcnab1
Mylf-ps,0.000465361,-0.037541496,0,0.002,1,0,Mylf-ps
Mrps17,0.000465817,-0.028266231,0.144,0.168,1,0,Mrps17
Gm13166,0.000465843,0.034663095,0.03,0.021,1,0,Gm13166
Insyn2a,0.000467915,0.02928981,0.018,0.012,1,0,Insyn2a
