enstxids	sym	C12.rna	C3.rna	Q.rna	preS.rna	S.rna	Tr.rna	C12.rp	C3.rp	Q.rp	preS.rp	S.rp	Tr.rp
ENST00000246166	FNTB	6.44	7.2	6.71	6.05	4.48	4.94	1.84	2.44	4.16	1	1	1.03
ENST00000312562	FOSL1	258.28	139.86	171.68	309.11	97.98	246.49	289.14	164.28	236.2	262.14	75.43	254.73
ENST00000259806	FOXF2	34.06	14.63	32.62	25.76	7.29	32.93	14.18	3.82	14	8.28	1.63	4.66
ENST00000162391	FOXJ2	13.9	10.04	10.81	9.89	4.92	8.32	7.24	9.37	8.59	6.11	4.94	6.48
ENST00000372572	FOXJ3	17.6	11.24	17.94	19.02	10.72	14.04	9.53	11.29	11.39	10.84	11.86	12.81
ENST00000335255	FOXK2	22.62	13.83	23.36	21.53	16	27.76	11.58	6.61	10.33	11.31	7.19	10.31
ENST00000340553	FOXN2	7.05	5.54	8.06	8.15	5	4.65	10.39	12.69	13.11	21.18	10.8	15.21
ENST00000379561	FOXO1	1	1.07	1	1	1	1	1	3.33	1.65	1.19	1	1.91
ENST00000406360	FOXO3	12.04	11.97	12.26	13.1	15.01	7.18	12.58	10.58	12.46	10.51	14.92	6.67
ENST00000491238	FOXP1	20.45	13.35	25.02	24.9	7	9.81	17.63	11.63	22.45	22.73	9.55	9.94
ENST00000373060	FOXP4	7.36	3.9	6.63	6.03	4.25	5.3	5.12	2.85	7.74	6.8	3.28	3.36
ENST00000263578	FOXRED1	11	8	8.38	11.03	5.6	10.3	15.42	10.36	12.77	17.76	4.58	10.71
ENST00000373247	FPGS	23.95	23.19	19.12	21.48	16.42	22.88	27.79	16.67	28.82	24.39	10.89	15.25
ENST00000370898	FPGT	3.94	3.51	3.97	4.55	3.38	3.04	1	2.61	1.69	1	3.75	2.73
ENST00000359204	FRA10AC1	4.82	3.92	5.36	6.5	6.28	4.61	15.51	15.66	10.53	15.89	26.04	16.84
ENST00000357447	FRMD4A	18.94	10.13	18.48	27.56	6.08	19.37	16.37	5.32	13.25	18.51	3.65	11.54
ENST00000344768	FRMD6	93.62	125.87	63.24	76.87	99.99	103.63	104.26	100.22	53.99	63.76	102.19	95.54
ENST00000317568	FRMD8	11.45	15.06	14.05	11.27	14.3	17.9	13.46	11.89	17.19	11.64	8.79	9.61
ENST00000287474	FRRS1	2.23	2.5	3.27	3.23	2.18	1.77	3.3	5.49	7.09	6.05	8.23	2.72
ENST00000299293	FRS2	5.03	6.21	5.05	3.85	5.97	4.56	3.93	1.81	3.11	1.43	4.33	2.25
ENST00000358350	FRYL	7.09	8.24	8.01	7.17	4.29	6.93	5.57	8.42	6.48	7.68	8.81	9.97
ENST00000382361	FSCN1	187.27	164.46	244.56	180.7	109.11	203.51	294.95	217.63	473.59	310.81	120.08	206.08
ENST00000221856	FSD1	8.52	7.1	8.32	8.43	3.83	14.45	9.6	6.44	8.93	6.85	2.51	8.25
ENST00000471389	FTO	6.59	6.97	5.91	5.66	5.24	6.49	45.77	59.83	37.84	29.33	40.95	49.64
ENST00000348411	FTSJ1	29.67	25.41	23.94	27.86	15.77	24.89	28.8	20.88	23.66	29.42	8.96	17.42
ENST00000242257	FTSJ2	24.99	19.65	18.2	25.92	16.04	25.92	42.34	20.62	24.5	36.59	15.14	24.99
ENST00000427159	FTSJ3	41.24	26.87	31.56	45.28	27.38	51.18	88.14	53.32	57.95	68.75	55.74	110.57
ENST00000434935	FTSJD1	7.89	7.98	8.22	9.75	8.39	7.32	4.53	7.05	5.59	4.78	10.9	8.7
ENST00000373451	FTSJD2	23.44	17.3	22.49	21.97	21.48	19.46	21.05	17.76	22.85	19.02	28.7	21.07
ENST00000436586	FUBP1	70.94	51.3	40.47	60.33	36.76	53.89	141.08	96.16	73.02	118.79	92.51	102.04
ENST00000319725	FUBP3	29.25	32.11	25.08	34.09	32.32	36.37	49.74	55.04	50.34	64.46	55.73	58.74
ENST00000002165	FUCA2	97.22	67.28	90.59	97.36	71.94	60.01	114.47	100.66	100.53	128.99	146.57	86.99
ENST00000378912	FUK	2	1.64	2.33	1.93	2.4	2.34	1	1	2.97	3.53	1	1.56
ENST00000378045	FUNDC1	9.53	7.83	8.03	11.13	9.43	8.04	25.37	23.33	13.15	14.66	21.55	18.76
ENST00000380081	FUT10	3.32	3.91	3.96	2.94	2.93	3.22	1.36	1.58	2.36	1	1.39	2.45
ENST00000372841	FUT11	17.94	16.13	22.25	13.12	5.83	17.99	36.69	26.47	45.54	25.69	9.76	21.75
ENST00000360689	FUT8	19.32	18.66	27.25	27.25	9.93	22.73	30.36	13.9	26.9	21.89	13.48	20.74
ENST00000313777	FUZ	6.59	5.3	6.66	5.18	3.29	5.19	3.09	2.43	3.44	2.66	1	2.92
ENST00000254616	FXC1	12.2	13.44	18.32	15.91	24.96	14.11	17.4	27.06	34.53	19.31	25.36	24.05
ENST00000377270	FXN	4.06	3.08	2.81	5.55	4.8	5.96	15.39	14.26	7.75	11.9	12.64	15.39
ENST00000250113	FXR2	25.46	24.54	19.81	30.19	31	29.56	20.41	26.99	21.41	18.96	29.07	28.23
ENST00000543307	FXYD5	181.45	219.07	162.67	176.54	261.5	167.62	375.05	345.58	363.35	459.5	550.59	264.17
ENST00000535325	FYCO1	17	18.13	23.84	17.4	17.18	18	21.88	15.18	42.63	27.02	16.59	21.16
ENST00000354650	FYN	13.47	9.49	20.02	12.5	13.71	14.73	6.92	7.67	15.47	9.85	10.77	6.97
ENST00000241502	FYTTD1	26.38	28.43	28.06	29.3	32.35	29.86	61.11	71.94	47.15	37.78	71.31	75.74
ENST00000531380	FZD4	3.86	6.03	4.47	2.36	1.63	2.25	3.98	5.95	3.47	1.24	1.83	1.78
ENST00000395095	FZR1	20.07	21.19	16.51	13.83	13.3	11.63	30.6	22.65	29.62	18.3	12.77	11.62
ENST00000553504	G2E3	8.25	7.37	5.3	6.61	3.13	4.91	6.81	10.6	3.9	6.66	7.04	9.75
ENST00000394123	G3BP1	35.79	35.63	30.65	35.17	25.7	37.25	313.63	257.75	241.19	205.37	185.72	341.12
ENST00000359707	G3BP2	27.9	56.46	32.12	31.84	74.59	49.4	104.95	158.81	101.27	86.29	187.07	194.85
ENST00000269097	G6PC3	40.09	48.59	48.75	45.8	66.65	66.15	38.73	46.7	51.84	45.5	52.86	49.15
ENST00000262995	GAB1	1.1	1.7	2.61	1.04	1	2.34	3.4	3.35	3.38	1	2.28	3.45
ENST00000361507	GAB2	6.57	3.86	6.37	5.25	4.13	2.21	4.47	2.8	2.22	1.07	2.57	1.14
ENST00000424127	GAB3	1	3.55	1	1	7.99	1	1	2.97	1	1	7.54	1
ENST00000302386	GABARAP	81.56	115.36	121.86	87.82	120.28	105.75	179.87	461.31	209.39	171.63	252.95	372.96
ENST00000354828	GABPA	6.6	7.79	6.77	6.88	7.45	5.33	19.86	29.86	16.69	8.46	33.82	28.89
ENST00000220429	GABPB1	11.87	9.08	8.69	11.65	7.35	11.4	19.41	15.68	13.29	15.78	13.83	15.86
ENST00000368918	GABPB2	3.11	2.78	2.13	2.41	1.48	2.46	5.34	3.78	3.76	1.86	2.19	3.02
ENST00000316939	GADD45GIP1	121.39	67.62	99.51	131.93	89.89	88.78	392.61	135.1	268.2	280.96	94.86	131.37
ENST00000314167	GAK	19.9	19.54	20.52	25.53	23.14	25.26	13.94	15.9	20.28	21.26	15.09	17.62
ENST00000265643	GAL	1	10.34	1	1	4.28	8.37	1	22.3	2.92	1	11.92	11.37
ENST00000261304	GALC	3.71	5.04	4.72	3.81	4.43	5.53	2.3	8.77	8.7	3.09	12.38	10.55
ENST00000374497	GALE	46.64	23.1	38.03	65.13	18.22	44.91	123.78	36.7	75.32	103.43	22.92	55.66
ENST00000272252	GALM	5.8	4.05	8.77	5.74	2.64	5.29	5.5	5.66	13.53	3.42	3.38	9.77
ENST00000268695	GALNS	15.79	13.54	20.11	15.12	18.52	20.74	14.64	10.95	24.27	13.44	22.83	15.67
ENST00000269195	GALNT1	15.99	19.8	21.11	19.94	27.14	41.86	15.36	28.5	21.03	32.28	58.42	68.75
ENST00000434507	GALNT11	7.53	13.42	10.56	7.72	16.85	9.67	3.44	2.47	1.15	1.19	5.04	2.45
ENST00000366672	GALNT2	42.93	75.45	41.79	33.92	68.73	56.94	105.12	176.42	114.58	103.98	216.78	132.44
ENST00000543196	GALNT6	33.96	41.73	42.39	54.37	78.45	39.84	50.42	57	64.35	74.96	167.22	56.59
ENST00000265000	GALNT7	5.08	5.77	5.62	5.7	10.76	6.4	12.86	16.15	11.71	16.37	41.27	20.22
ENST00000339732	GALNTL2	1	1.73	1.07	1	4.49	3.91	1	1	1	1	2.36	2.74
ENST00000378842	GALT	4.01	6.16	3.17	3.16	3.96	6.77	5.43	7.41	3.64	3.38	2.36	3.99
ENST00000447102	GAMT	10.86	14.84	12.88	10.48	25.77	9.05	33.4	16.53	29.33	20.25	14.6	11.53
ENST00000248272	GAN	3.07	1.48	2.17	2.92	3.26	1.54	6.52	3.33	2.49	3.36	7.32	4.45
ENST00000346178	GANAB	205.22	179.19	210.79	172.03	112.39	203.62	402.54	351.05	441.3	363.78	279.06	376.67
ENST00000318010	GANC	4.8	5.98	5.24	3.84	3.21	3.92	5.27	5.25	2.38	2.38	3.1	4.68
ENST00000229239	GAPDH	3423.69	2793.22	3774.14	3741.4	3197.58	2662.52	6577.13	5764.39	5880.16	6332.28	4421.82	4616.5
ENST00000394105	GAPVD1	8.57	12.63	8.71	11.41	16.97	16.75	8.96	15.52	9.22	10.99	28.67	28.13
ENST00000389266	GARS	144.09	110.99	197.74	156.16	215.33	82.34	181.55	160.36	238.96	156.75	325.34	127.25
ENST00000381831	GART	37.43	30.06	27.55	45.65	28.59	35.36	58.17	52.02	46.43	65.62	50.82	76.56
ENST00000333679	GAS2L1	27.33	20.34	18.86	25.67	18.27	44.06	7.19	3.21	5.16	6.88	1.75	5.55
ENST00000539410	GAS2L3	12.52	9.04	8.31	9.77	1.93	4.39	4.73	6.07	3.11	4.58	1	3.29
ENST00000268699	GAS8	4.32	3.68	4.57	4.78	4.11	4.7	5.37	5.67	9.3	14.09	4.78	9.28
ENST00000287957	GATAD1	8.94	9.22	9.9	11.81	10.34	9.54	16.23	14.38	16.34	9.3	12.67	8.97
ENST00000404158	GATAD2A	38.84	23.42	28.27	41.37	21.3	31.71	41.09	25.67	34.37	40.95	19.23	43.29
ENST00000368655	GATAD2B	6.72	4.55	6.76	4.83	2.11	4.65	17.57	21.97	29.65	14.84	11.32	18.41
ENST00000551765	GATC	14.41	10.85	13.83	17.15	15.67	12.06	37.4	26.21	37.75	31.36	20.52	25.83
ENST00000327247	GBA	52.21	69.7	66.87	75.69	153.99	72.11	76.44	71.1	90.39	103.69	281.26	78.14
ENST00000545786	GBA2	7.6	9.97	7.18	8.28	14.21	14.16	1.15	1.35	1.81	2.69	1.55	1.71
ENST00000369983	GBF1	41.92	31.11	38.61	37.4	37.78	33.25	36.66	31.51	43.26	46.61	54.58	38.85
ENST00000464839	GBP2	1.33	1.76	1.79	1.35	2.32	4.18	2.03	4.67	4.71	5.47	7.98	13.44
ENST00000370481	GBP3	16.7	21.98	24.73	16.33	6.81	17.17	14.46	12.86	15.01	8.05	4.18	8.13
ENST00000355754	GBP4	1.07	1	1	1	1	3.69	4.23	1	1.9	1.65	1	9.63
ENST00000437150	GCA	1.56	1.54	2.18	1.03	1	1.21	3.06	8.46	9.57	7.17	4.12	4.39
ENST00000323205	GCAT	12.21	14.88	21.13	11.52	19.62	16.68	9.95	14.69	29.5	16.26	10.4	10.68
ENST00000321407	GCC1	7.74	7.93	9.18	8.23	11.47	9.2	9.83	8.13	9.97	7.26	11.95	8.4
ENST00000222214	GCDH	11.22	8.83	8.26	9.26	6.98	9.18	21.16	12.49	16.69	12.96	6.27	9.15
ENST00000331923	GCFC1	7.42	5.3	6.08	7.81	3.91	8.19	4.8	4.28	4.8	9.12	1.17	5.28
ENST00000229416	GCLC	7.53	5.92	6.9	10.05	7.4	7.21	10.76	7.07	7.31	11.28	12.04	11.09
ENST00000370238	GCLM	18.63	12.8	12.39	20.99	8.49	20.85	71.26	61.39	44.83	42.4	35.2	101.59
ENST00000300648	GCN1L1	48.36	36.87	43.48	49.13	38.44	39.86	45.7	48.44	60.59	81.04	58.02	55.78
ENST00000380569	GCOM1	1.73	2.26	2.37	2.27	1.65	3.51	2.51	2.99	2.37	1.01	1.58	6.71
ENST00000315467	GCSH	25.73	18.43	19.98	26.45	22.94	31.5	91.96	58.55	49.12	66.69	64.95	100.47
ENST00000220822	GDAP1	3.76	2.48	3.83	4.2	2.14	2.54	10.82	5.14	6.02	4.35	4.6	3.78
ENST00000369443	GDAP2	9.26	7.77	8.61	11.28	6.98	6.89	13.31	8.77	12.32	6.16	14.02	10.74
ENST00000353258	GDE1	29.65	33.51	32.46	29.15	72.66	32.75	24.59	29.37	29.16	43.19	67.3	24.69
ENST00000257868	GDF11	7.95	9.43	10.79	11.71	23.67	11.27	1.44	3.92	4.47	8.62	8.17	4.04
ENST00000287020	GDF6	1.95	1	1.42	1	1	1	5.77	2.02	5.58	1	1	1
ENST00000447750	GDI1	86.21	76.55	71.6	89.75	94.01	85.65	91.72	81.11	77.83	100.25	89.65	70.5
ENST00000308317	GEMIN2	6.86	3.69	3.76	5.05	2.28	5.38	13.42	9.84	6.98	5.16	3.61	10.89
ENST00000319004	GEMIN4	17.4	14.14	10.36	18.51	8.86	19.68	17.17	15.9	13.25	23.13	9.3	22.06
ENST00000285873	GEMIN5	15.26	10.65	8.99	17.03	7.5	11.7	25.59	14.4	13.99	20.37	11.77	21.78
ENST00000380523	GEMIN8	3.83	5.09	4.66	4.46	5.17	4.77	10.29	17.37	12.92	15.38	10.49	13.03
ENST00000381254	GEN1	5.94	5.93	4.42	4.71	1.52	5.09	3.06	6.08	1.64	3.5	1.72	5.01
ENST00000265857	GET4	18.7	12.98	15.75	23.82	32.05	19.44	26.15	16.86	17.7	33.17	30.57	19.15
ENST00000248114	GFER	12.52	6.69	10.02	12.06	6.34	10.64	34.23	8.48	25.51	22.21	6.75	12.14
ENST00000264263	GFM1	22.24	19.94	17.14	26.25	24.58	19.68	48.43	30.96	28.96	40.89	54.39	41.14
ENST00000296805	GFM2	13.07	14.63	11.31	15.48	30.93	14.61	12.58	8.52	7.26	13.73	25.6	11.29
ENST00000268797	GFOD2	7.72	6.27	7.25	8.9	11.5	11.25	3.3	1.76	5.76	6.5	4.58	3.86
ENST00000357308	GFPT1	18.23	23.8	22.01	23.79	42.47	19.07	96.99	109.02	107.7	85.12	225.29	94.38
ENST00000253778	GFPT2	1	1	1.12	2.43	1	3.53	1	1	1.66	2.7	1	4.01
ENST00000309859	GGA2	13.32	9.46	14.09	15.39	9.89	10.92	19.88	14.22	19.44	25.44	15.43	15.21
ENST00000245541	GGA3	17.4	9.89	13.68	15.97	10.84	19.63	14.41	9.25	11.58	10.33	9.13	12.24
ENST00000233838	GGCX	16.37	18.92	17.63	16.45	25.2	16.42	38.83	47.49	45.46	43.08	83.04	48.03
ENST00000260118	GGH	26.4	15.5	21.07	30.96	16.46	27.97	49.13	42.58	51.77	39.88	63.86	50.3
ENST00000304718	GGNBP2	27.69	24.3	25.42	27.33	22.51	39.02	30.31	38.3	29.14	23.5	39.36	50.01
ENST00000282841	GGPS1	6.44	9.01	9.32	8.25	11.78	9.18	3.48	5.48	5.69	2.41	13.29	6.1
ENST00000301671	GHDC	1.39	4.64	2.39	1.26	1.23	2.82	2.62	9.14	5.97	2.21	2.29	3.11
ENST00000372134	GHITM	98.31	79.8	96.74	107.82	137.91	90.48	226.59	139.66	176.27	157.7	235.43	155.11
ENST00000373566	GIGYF2	14.76	13.9	16.4	16.85	14.22	15.62	48.35	36.59	55.95	54.61	48.42	50.9
ENST00000399004	GIN1	1.96	1.54	1.62	2.03	1.79	1.78	1.2	2.41	1.01	1.17	4.71	2.75
ENST00000393033	GIPC1	90.2	84.1	87.39	105.8	175.76	77.06	110.36	82.07	102.83	97.05	113.66	63.73
ENST00000392993	GK5	3.23	2.89	3.32	3.04	3.11	2.43	2.33	2.29	1.94	3.47	2.62	2.76
ENST00000218516	GLA	22.88	21.19	20.57	33.14	59.97	28.21	58.77	42.08	31.76	62.41	191.73	57.92
ENST00000445488	GLB1	25.88	37.85	36.66	30.59	56.75	37.42	30.26	55.93	43.32	48.03	131.16	46.88
ENST00000261858	GLCE	9.27	9.2	10.27	7.83	7.81	10.82	10.98	9.66	10.26	11.47	16.22	14.51
ENST00000309971	GLE1	18.68	17.85	14.86	18.99	10.09	19.14	28.54	24.5	26.98	44.86	16.29	29.04
ENST00000205061	GLG1	24.6	28.57	33.16	24.05	35.93	33.44	97.7	136.92	145.74	128.87	260.78	159.18
ENST00000452319	GLI2	5.7	3.86	3.91	3.01	1	5.79	2.19	1.87	2.48	1.23	1	2.06
ENST00000395925	GLI3	3.81	2.63	3.73	2.8	1	3.79	1.21	1.11	1.69	1.41	1	1.67
ENST00000262366	GLIS2	7.91	7.93	11.03	5.05	5.56	7.31	1.97	1.57	3.32	2.98	1.38	1.06
ENST00000370360	GLMN	6.15	4.4	5.19	8.95	6.63	6.3	6.82	10.11	5.43	9.19	15.78	12.97
ENST00000264428	GLRB	2.48	3.06	3.62	2.3	8.05	3.16	5.44	7.7	5.45	5.71	24.79	8.18
ENST00000481034	GLRX3	52.33	41.46	39.49	79.82	52.15	52.86	90.75	105.41	53.4	96.47	114.62	134.15
ENST00000320717	GLS	39.05	33.85	34.91	33.69	56.55	21.13	149	110.14	124.3	112.25	206.57	86.77
ENST00000252599	GLT25D1	61.02	64.57	67.29	60.97	91.89	79.79	53.38	55.21	68.48	56.87	111.91	63.89
ENST00000407584	GLT8D1	17.61	25.03	24.81	16.56	22	21.47	25.73	34.56	29.75	23.85	50.79	27.47
ENST00000360814	GLT8D2	13.38	18.96	18.33	9.34	7.52	13.35	11.9	29.39	21.19	8.61	17.06	19.69
ENST00000318348	GLTP	32.66	30.28	31.34	34.74	67.65	21.35	25.16	45.51	30.77	36.93	65.82	27.88
ENST00000396720	GLTSCR1	5.58	2.8	3.65	3.38	1.77	4.49	1.84	1.74	3.1	2.36	1	1.45
ENST00000277865	GLUD1	32.18	37.73	43.73	36.07	37.87	39.09	63.69	41.66	70.2	54.3	43.86	43.93
ENST00000321919	GLYR1	35.59	33.26	31.6	34.7	29.69	32.18	47.38	55.26	48.87	44.01	46.92	45.77
ENST00000380815	GMDS	9.07	7.76	7.98	8.83	6.22	6.86	11.79	10.8	14.27	11.52	9.71	10.06
ENST00000294409	GMEB1	7.58	6.61	5.42	6.8	6	6.38	6.37	8.03	4.77	6.32	5.91	10.06
ENST00000266068	GMEB2	10.63	6.29	7.53	8.21	5.5	7.82	8.88	6.12	10.95	12.4	3.88	7.57
ENST00000203556	GMIP	4.72	4.38	5.43	6.27	11.92	7.35	1.57	3	4.71	4.71	6.36	3.04
ENST00000496455	GMPS	31.61	20.16	22.03	29.26	9.8	20.84	72.17	54.32	49.29	43.33	30.06	74.27
ENST00000078429	GNA11	46.71	44.8	36.34	37.03	38.09	30.73	75.6	55.52	50.45	34.25	33.41	30.38
ENST00000275364	GNA12	45.59	39.43	41.11	39.59	34.58	57.02	22.3	16	16.96	17.23	8.5	17.62
ENST00000439174	GNA13	15.83	13.48	18.45	17.61	14.53	21.14	22.09	26.7	24.12	22.14	19.86	31.4
ENST00000351004	GNAI1	12.09	14.25	13.72	12.94	23.02	17.78	51.99	53.44	48.01	51.71	98.94	78.78
ENST00000369851	GNAI3	57.32	51.37	52.69	67.87	49.96	55.84	171.24	144.86	124.81	120.39	152.08	162.12
ENST00000286548	GNAQ	12.07	15.41	14.85	11.81	10.39	12.14	12.33	16.04	20.3	3.87	11.99	12.05
ENST00000371100	GNAS	237.16	256.48	320.52	169.53	214.67	222.01	188.82	212.57	255	122.12	164.55	174.52
ENST00000378609	GNB1	244.44	193.11	221.39	229.38	218.81	214.47	209.77	152.52	228.47	167.05	138.94	153.41
ENST00000329517	GNB1L	2.35	1.04	1.69	2.53	1	2.27	12.47	4.59	11.07	13.95	1.77	5.44
ENST00000303210	GNB2	119.16	124.49	117.12	125.5	147.46	148.61	182.61	139	177.42	166.07	128.58	136.01
ENST00000512805	GNB2L1	994.17	666.03	1134.39	1024.84	776.29	687.33	1472.68	971.07	912.39	990.4	1009.97	927.85
ENST00000232564	GNB4	19.98	20.92	26.3	23.92	9.86	23.71	40.35	63.17	45.75	45.32	24.14	62.81
ENST00000261837	GNB5	10.05	10.15	11.66	9.15	9.44	11.93	19.31	17.52	27.65	15.22	9.88	18.68
ENST00000396594	GNE	6.14	7.25	7.14	5.78	6.6	9.2	7.49	7.85	9.93	5.4	9.8	9.39
ENST00000557376	GNG2	1.83	5.35	2.93	2.91	2.6	11.08	4.42	17.48	5.82	6.03	3.66	23.73
ENST00000376621	GNL1	13.22	11.51	15.85	14.54	11.61	13.61	25.31	28.25	32.21	24.04	23.5	37.77
ENST00000373062	GNL2	50.08	38.04	46.23	66.15	46.78	45.09	63.03	62.57	48.22	67	67.74	81.68
ENST00000418458	GNL3	60.94	44.61	43.42	67.31	41.13	59.41	101.58	60.78	46.66	73.44	49.47	80.45
ENST00000336470	GNL3L	24.19	12.48	14.97	25.04	14.61	16.92	38.04	33.62	26.51	38.38	31.46	33.5
ENST00000366647	GNPAT	22.92	19.15	22.71	27.41	24.83	20.55	8.78	13.54	8.94	9.42	12.94	13.4
ENST00000295448	GNPDA2	4.5	8.47	5.66	6.17	11.86	7.51	8.24	23.82	10.18	11.88	35.47	20.08
ENST00000204679	GNPTG	28.25	34.56	37.8	24.57	43.49	26.05	40.45	43.13	49.78	36.83	50.67	26.7
ENST00000543646	GNS	51.12	57.82	57.38	58	92.2	52.48	83.57	111.46	122.61	117.21	321.34	111.39
ENST00000421699	GOLGA2	23.6	27.63	31.58	25.45	31.9	29.57	31.57	38.55	59.95	53.29	46	44.89
ENST00000163416	GOLGA5	17.75	24.83	24.19	22.36	28.5	19.5	13.43	24.99	23.99	19.89	25.85	15.7
ENST00000357743	GOLGA7	20.4	22.8	18.47	23.88	39.7	24.7	55.43	53.79	31.87	44.07	66.36	58.23
ENST00000388712	GOLM1	11.44	16.01	10.7	11.22	10.73	26.09	26.65	33.91	37.53	41.36	34.75	59.5
ENST00000229314	GOLT1B	20.7	24.61	26.14	24.26	38.61	24.44	46.73	90.05	44.15	44.15	173.66	76.19
ENST00000368331	GON4L	6.39	6.17	6.42	6.4	5.43	6.84	4.8	5.56	6.83	5.45	4.42	6.88
ENST00000535237	GOPC	17.51	23.09	18.08	15.72	23.46	16.83	59.8	55.33	56.73	44.83	75.04	45.57
ENST00000367763	GORAB	5.92	5.75	6.85	7.43	5.39	8.36	8.2	8.23	8.53	14.27	6.68	10.1
ENST00000452526	GORASP2	72.61	66.59	74.84	66.44	88.53	55.75	48.28	60.51	52.51	38.4	109.06	41.94
ENST00000225724	GOSR1	10.57	10.67	8.73	9.87	10.3	11.35	25.1	32.86	15.21	13.78	25.05	32.33
ENST00000439730	GOSR2	32.63	33.31	30.81	42.44	53.68	47.29	40.07	40.4	36.84	35.44	56.09	46.82
ENST00000370508	GOT1	39.26	24.88	36.39	35.97	34.5	27.99	46.2	35.04	49.77	35.31	42.49	35.93
ENST00000245206	GOT2	103.53	69.82	78.72	114.77	89.96	78.94	133.87	99.4	102.4	100.45	122.77	98.28
ENST00000355091	GPAA1	77.05	72.2	62.26	61.49	51.64	56.34	59.06	62.32	67.29	76.6	53.81	40.73
ENST00000348367	GPAM	4.49	3.93	3.91	5.04	3.11	2.8	3.91	3.69	3.78	6.06	5.77	2.6
ENST00000375906	GPANK1	8.19	5.72	8.44	11.29	5.87	8.23	16.2	8.15	17.23	26.88	7.96	18.48
ENST00000170564	GPATCH1	5.45	3.57	4.39	5.29	2.6	4.16	4.82	4.27	3.46	5.81	2.15	4.28
ENST00000366935	GPATCH2	2.19	2.78	2.55	2.64	2.14	2.79	12.24	12.38	7.75	7.81	6.41	9.81
ENST00000361720	GPATCH3	8.24	4.46	7.57	9.06	4.18	6.8	7.95	4.89	8.95	13.37	3.09	6.17
ENST00000335500	GPATCH8	14.04	10.89	13.63	14.03	8.1	15.3	11.05	12.4	10.99	12.51	9.53	18.54
ENST00000454432	GPBP1	13.47	12.78	13.74	13.61	10.8	17.11	11.36	4.71	6.81	4.86	5.22	8.13
ENST00000355105	GPBP1L1	24.59	21.63	24.48	25.45	19.84	21.09	2.71	1.33	3.18	3.76	3.54	2.8
ENST00000377047	GPC6	1	2.68	1.28	1	1	1	1	4.28	2.63	1.1	1	1
ENST00000379019	GPCPD1	2.82	5.07	5.25	3.44	2.38	3.62	1.55	7.28	3.96	4.06	2.41	2.33
ENST00000282541	GPD1L	2.91	2.98	3.06	3.58	5.99	3.22	4.16	4.96	5.32	2.38	9.14	5.9
ENST00000543237	GPHN	6.62	5.55	5.07	5.53	1.74	6.04	8.5	6.51	7.16	11.69	3.41	10.43
ENST00000415930	GPI	89.42	67.7	89.62	106.73	68.56	81.14	274.25	205.13	290.85	276.32	159.43	211
ENST00000264718	GPN1	19.84	16.91	17.86	26.99	19.74	22.72	33.19	27.81	27.77	30.69	26.97	33.65
ENST00000374135	GPN2	25.4	16.67	20.96	28.61	19.34	19.68	19.89	14.66	21.62	16.86	18.64	15.14
ENST00000543199	GPN3	13.63	11.54	7.97	16.9	7.88	14.87	19.14	16.62	8.54	12.23	10.46	27.1
ENST00000407325	GPR1	5.59	2.86	3.71	3.1	6.24	1	14.19	5.32	5.29	5.96	15.96	1.05
ENST00000372406	GPR107	13.78	20.71	16.05	15.38	43.52	24.17	20.66	26.96	26.2	24.14	94.22	33.38
ENST00000264080	GPR108	17.86	19.62	23.67	19.16	41.49	29.06	21.97	22.74	28.68	18.46	57.58	29.64
ENST00000537209	GPR161	9.35	8.4	11.78	6.59	3.16	5.84	6.43	3.26	6.78	2.23	1.11	4.6
ENST00000532887	GPR172A	42.11	37.76	47.54	51.65	56.48	47.52	44.7	24.69	62.57	60.8	66.21	41.7
ENST00000561100	GPR176	68.25	71.01	75.18	45.46	62.08	39.1	25.84	36.76	25.65	19.14	48.8	16.5
ENST00000376958	GPR180	9.94	10.6	14.9	12.16	24.44	13.16	7.28	9.13	12.54	11.77	31.61	13.09
ENST00000374024	GPR3	5.03	3.3	4.39	6.66	3.86	5.16	1.38	1.76	4.26	8.09	3.85	4.66
ENST00000303921	GPR37	1	1	1.08	1	1.07	1.55	2.71	1	1	1	1.89	1.3
ENST00000329321	GPR39	1.67	1	2.4	1.61	1	3.68	3.35	2.35	5.97	2.21	1.92	12.84
ENST00000537097	GPRASP1	1	1	1	1	1	2.18	1.54	1	1	1	1	4.04
ENST00000543253	GPRASP2	4.76	4.86	4.63	6.62	4.07	5.66	7.02	5.55	7.23	7.51	5.8	9.01
ENST00000303991	GPRIN1	5.64	4.66	5.51	5.73	2.08	7.86	6.49	5.34	6.5	9.79	1.72	6.78
ENST00000320548	GPS1	62.29	46.44	50.77	64.9	85.9	79.2	70.71	50.98	70.1	71.59	74.37	75.77
ENST00000440944	GPSM1	20.32	28.05	27.42	20.44	24.81	27.78	24.35	15.22	34.45	28.56	15.26	13.46
ENST00000406462	GPSM2	12.44	9.89	13.68	7.61	1.88	7.19	10.97	5.45	11.08	3.26	1.82	4.7
ENST00000340124	GPT2	13	6.01	15.17	9.29	8.37	8.31	17.41	5.37	11.72	4.69	4.98	3.86
ENST00000361314	GPX7	2.74	2.67	4.83	2.77	1	6.48	7.81	3.1	7.16	2.97	1.7	10.9
ENST00000456860	GRAMD1B	8.86	8.9	9.68	11.86	8.92	13.21	10.03	8.78	11.62	17.43	14.06	18.16
