enstxids	sym	C12.rna	C3.rna	Q.rna	preS.rna	S.rna	Tr.rna	C12.rp	C3.rp	Q.rp	preS.rp	S.rp	Tr.rp
ENST00000327435	ADI1	60.76	66.81	60.34	48.45	72.96	66.03	239.77	191.1	184.52	116.23	124.77	141.17
ENST00000340990	ADIPOR1	56.91	57.81	52.3	62.86	129.47	57.03	23.19	29.42	21.86	27.9	55.95	20.38
ENST00000357103	ADIPOR2	26.5	24.95	31.89	28.83	31.39	34.6	20.9	26.83	21.5	23.64	38.11	35.41
ENST00000286621	ADK	48.85	48.5	53.02	65.97	86.47	59.49	58.93	75.65	67.55	56.72	120.86	86.86
ENST00000528655	ADM	78.43	113.21	50.41	51.92	183.75	161.32	313.17	234.23	218.9	231.27	521.93	331.89
ENST00000396029	ADNP	22.31	19.2	21.12	21.66	9.82	20.31	13.09	16.06	14.75	9.91	9.56	16.5
ENST00000262198	ADNP2	8.82	5.96	7.7	8.53	3.99	7.93	3.43	5.87	4.19	4.88	2.64	4.61
ENST00000373783	ADO	11.26	9.02	10.19	12.48	9.54	10.1	17.09	12.53	17.42	17.5	7.59	10.31
ENST00000304222	ADORA2B	9.66	5.12	12.32	7.97	2.99	10.48	5.92	4.08	12.34	5.53	2.18	7.27
ENST00000311669	ADPGK	30.05	31.46	30.65	31.12	58.65	31.32	49.04	44.22	47.44	64.1	112.18	37.64
ENST00000308595	ADRBK1	26.88	18.86	19.48	20.28	12.8	22.64	13.82	11.81	11.55	13.5	4.58	9.68
ENST00000454266	ADSL	80.63	40.67	56.15	79.77	32.42	55.03	110.21	44.63	49.84	65.74	33.51	46.55
ENST00000366535	ADSS	27.59	30.8	25.99	25.71	23.6	27.85	45.51	72.08	45.64	52.5	52.76	59.27
ENST00000398864	AEBP2	8.9	10.01	8.64	8.37	7.14	10.79	15.03	12.83	14.31	11.09	9.34	15.36
ENST00000296721	AFAP1L1	4.94	2.28	4.16	4.72	2.53	3.91	6.4	1.83	4.74	4.35	1.43	3.5
ENST00000395146	AFF1	7.7	9.72	7.48	8.44	16.4	8.44	7.59	9.39	6.71	9.8	19.33	9.52
ENST00000356421	AFF3	5.66	3.49	7.46	4.97	1.33	4.18	5.06	4.26	7.58	4.64	1.09	5.57
ENST00000265343	AFF4	27.33	31.62	30.63	31.36	35.67	24.77	28.56	33.39	30.85	32.98	49.09	35.64
ENST00000327898	AFMID	8.42	7.9	7.4	9.66	7.71	13.93	10.45	15.86	11.86	15.53	8.35	26.61
ENST00000422803	AFTPH	6.3	7.06	6.66	7.43	11.8	6.53	3.94	3.98	2.72	3.51	7.08	3.12
ENST00000264595	AGA	9.1	15.76	11.23	11.38	24.84	17.79	34.55	41.25	30.38	22.99	94.95	45.32
ENST00000409538	AGAP1	6.69	3.64	6.4	6.03	2.45	5.89	1.99	1	2.47	1	1	1.54
ENST00000360131	AGBL5	12.27	20.14	11.06	11.4	34.8	17.83	2.21	1.15	1	1.32	1	1
ENST00000409979	AGFG1	28.76	29.32	21.37	28.32	26.1	26.83	17.4	23.14	16.28	12.68	19.32	17.65
ENST00000300176	AGFG2	5.75	3.91	4.55	3.97	1.53	3.05	4.94	7.45	6.55	5.21	2.53	4.2
ENST00000312916	AGGF1	9.41	10.39	11.12	10.44	8.74	11.03	8.19	5.9	5.42	2.65	3.81	7.41
ENST00000355413	AGK	8.04	8.11	6.1	8.71	8.51	7.78	35.23	22.6	15.53	26.12	26.79	21.07
ENST00000294724	AGL	4.43	5	5.73	3.86	4.58	1.91	6.52	8.77	7.33	10.15	12.08	5.24
ENST00000395499	AGPAT1	48.04	42.54	42	44.52	70.3	48.88	21.87	15.72	20.86	23.38	25.92	20.99
ENST00000371696	AGPAT2	20.7	29.97	24.26	23.49	54.68	30.99	27.19	24.17	25.92	32.4	39.78	18.6
ENST00000398063	AGPAT3	27.84	25.91	26.46	25.56	29.76	31.46	30.88	21.49	31.65	41.73	34.67	22.52
ENST00000285518	AGPAT5	14.72	10.46	11.3	18.1	9.6	15.89	33.06	21	23.56	37.76	39.3	35.72
ENST00000264167	AGPS	8.25	6.62	6.53	7.45	3.94	8.24	22.27	18.11	14.7	13.29	10.07	22.01
ENST00000376109	AGTPBP1	1.93	3.46	2.19	1.48	2.5	2.4	1.09	1.37	1	1	1.19	1.05
ENST00000366508	AHCTF1	15.2	14.72	11.94	16.12	9.62	14.88	14.09	16.23	9.84	12.43	17.42	23.75
ENST00000217426	AHCY	113.96	68.92	95.57	127.17	181.03	92.17	208.66	84.93	140.16	171.63	216.44	115.47
ENST00000369799	AHCYL1	49.38	47.39	42.01	41.6	28.6	30.63	76.66	75.38	74.67	55.16	40.11	51.46
ENST00000325006	AHCYL2	3.25	4.19	4.89	4.23	7.86	4.48	3.65	7.06	8.61	5.01	11.22	8.83
ENST00000367800	AHI1	6.18	4.43	6.15	5.79	4.65	3.6	3.71	2.88	2.99	2.61	3.2	2.78
ENST00000242057	AHR	14.35	15.66	13.2	15.8	11.49	18.17	16.28	29.94	14.52	12.95	29.59	29.93
ENST00000506456	AHRR	11.74	11.5	17.37	7.84	4.39	9.92	6.47	4.96	16.94	9.1	2.18	4.39
ENST00000340020	AIDA	43.4	64.47	45.48	53.23	63.87	51.94	17.21	39.35	19.16	16.36	36.34	24.36
ENST00000287295	AIFM1	21.18	16.24	16.96	27.97	28.03	25.67	44.84	22.28	30.75	37.17	47.67	36.97
ENST00000307864	AIFM2	13.05	8	11.12	15.66	6.6	9.13	45.13	17.77	29	45.35	11.31	16.72
ENST00000275235	AIG1	10.47	14.34	15.04	12.57	33.07	12.57	42.32	46.74	44.76	48.31	131.7	42.51
ENST00000394701	AIMP1	19.91	18.51	16.79	23.69	21.74	18.05	98.08	105.81	73.2	95.03	117.55	123.41
ENST00000223029	AIMP2	30.48	16.88	18.8	29.15	17.2	24.76	53.67	58.04	27.46	42.41	56.42	60.93
ENST00000279146	AIP	39.47	30.62	46.06	36.11	25.97	33.02	69.56	48.37	77.97	42.14	23.64	35.13
ENST00000223836	AK1	24.12	30.61	22.81	27.85	71.54	43.64	47	47.6	40.79	49.18	63.31	60.03
ENST00000354858	AK2	106.4	69.61	81.15	113.17	81.86	73.12	104.56	101.88	76.64	89.27	80.9	109.87
ENST00000381809	AK3	15.91	26.69	18.91	22.13	62.54	21.72	36.07	48.09	36.17	29.85	83.12	28.01
ENST00000427138	AKAP1	12.32	7.78	9.93	10.61	3.49	11.1	8.08	5.64	10.32	12.15	4.01	10.74
ENST00000225737	AKAP10	7.98	9.36	7.93	9.01	12.01	9.99	4.51	4.83	5.28	3.2	7.69	6.42
ENST00000025301	AKAP11	13.72	14.47	13.83	13.98	15.27	10.72	15.2	21.07	14.25	17.63	27.29	22.22
ENST00000313871	AKAP17A	19.1	12.25	16.03	19.17	15.02	20.8	16.13	6.48	14.52	23.89	7.66	12.27
ENST00000280979	AKAP6	1	3.34	1.02	1	2.68	1	1	2.8	1	1	3.45	1
ENST00000269701	AKAP8	15.23	9.44	11.72	15.99	9.44	13.06	22.8	12.95	19.32	25.92	10.29	17.43
ENST00000397410	AKAP8L	31.52	16.46	30.34	34.74	29.72	27.47	30.69	9.07	29.95	31.82	26.47	21.34
ENST00000424296	AKD1	1	1	1	1	1.05	1	1	1	1	1	2.71	1
ENST00000309377	AKIP1	18.22	19.29	17.38	21.85	27.27	18.4	44.14	40.7	33.38	37.81	51.37	36.7
ENST00000432648	AKIRIN1	34.08	26.78	27.59	43.34	58.29	33.2	44.92	43.99	40.39	54.35	81.98	41.36
ENST00000257787	AKIRIN2	32.09	24.31	23.83	25.8	16.74	26.08	36.71	39	21.61	27.9	21.59	33.65
ENST00000380872	AKR1C1	4.21	1.16	6.63	6.25	1	1	26.87	7.94	24.83	16.19	4.2	4.52
