,p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene
Ggcx.7,0.247580445,0.037272412,0.133,0.118,1,7,Ggcx
Wrap73.7,0.247651327,-0.034326725,0.03,0.038,1,7,Wrap73
Heatr5b.7,0.247819344,-0.032666753,0.021,0.028,1,7,Heatr5b
Gli1.7,0.247829145,-0.027986237,0.007,0.012,1,7,Gli1
Smim14.7,0.247975377,-0.016450721,0.379,0.393,1,7,Smim14
Ano1.7,0.247985042,-0.043820107,0.009,0.013,1,7,Ano1
Zfp202.7,0.248053499,-0.015927128,0.002,0.006,1,7,Zfp202
Gm7908.7,0.248078271,0.009796849,0.015,0.011,1,7,Gm7908
Icam5.7,0.248193511,-0.010931214,0.001,0.004,1,7,Icam5
A630001G21Rik.7,0.248274588,-0.012019347,0.001,0.004,1,7,A630001G21Rik
Gm5112.7,0.248301618,-0.00989525,0.001,0.004,1,7,Gm5112
Ercc6l.7,0.248409757,-0.008556854,0.001,0.004,1,7,Ercc6l
Odf2.7,0.248463551,0.02819231,0.082,0.071,1,7,Odf2
5033421B08Rik.7,0.248463839,-0.010158518,0.001,0.004,1,7,5033421B08Rik
Gm10053.7,0.248463839,-0.010415871,0.001,0.004,1,7,Gm10053
Rad54b.7,0.248517929,-0.0090479,0.001,0.004,1,7,Rad54b
Lrrc45.7,0.248608721,0.019563851,0.073,0.063,1,7,Lrrc45
Gm7561.7,0.248638743,-0.001644424,0.041,0.033,1,7,Gm7561
Cetn4.7,0.248844859,-0.036341001,0.02,0.026,1,7,Cetn4
Bcat1.7,0.248878755,-0.049943087,0.047,0.056,1,7,Bcat1
Cntrob.7,0.248951214,0.037446906,0.022,0.017,1,7,Cntrob
Anks1b.7,0.249059283,-0.01122348,0.001,0.004,1,7,Anks1b
Zfp24.7,0.249061824,0.056526564,0.083,0.073,1,7,Zfp24
Ttc13.7,0.249075781,-0.020861931,0.041,0.05,1,7,Ttc13
Vps35.7,0.249084307,-0.090694275,0.204,0.217,1,7,Vps35
Kidins220.7,0.249096803,0.060033317,0.164,0.148,1,7,Kidins220
Eya4.7,0.249243458,0.06143935,0.046,0.038,1,7,Eya4
Dand5.7,0.249284594,0.006109096,0.026,0.02,1,7,Dand5
Gtse1.7,0.249303161,-0.005357449,0.001,0.004,1,7,Gtse1
Rcbtb2.7,0.249504883,0.001818719,0.051,0.061,1,7,Rcbtb2
Gm28041.7,0.249520082,-0.004373414,0.001,0.004,1,7,Gm28041
Timm13.7,0.249879078,-0.094254721,0.287,0.299,1,7,Timm13
Serpinb9.7,0.249898444,-0.024287809,0.089,0.101,1,7,Serpinb9
1110038F14Rik.7,0.250079666,0.062970105,0.161,0.146,1,7,1110038F14Rik
C330018D20Rik.7,0.250110477,-0.005063203,0.015,0.021,1,7,C330018D20Rik
Acad9.7,0.250122079,-0.03748434,0.034,0.042,1,7,Acad9
Iars.7,0.250139697,-0.059306056,0.046,0.055,1,7,Iars
Fam53a.7,0.250169003,-0.051671754,0.066,0.076,1,7,Fam53a
Rbm6-ps1.7,0.250187202,0.013707391,0.007,0.005,1,7,Rbm6-ps1
Gm37311.7,0.250315189,0.033736532,0.016,0.012,1,7,Gm37311
5430414B19Rik.7,0.250401633,0.012451107,0.007,0.005,1,7,5430414B19Rik
Naa30.7,0.250631788,-0.028028159,0.026,0.033,1,7,Naa30
Chmp2b.7,0.250659313,-0.016379892,0.185,0.168,1,7,Chmp2b
Gm39041.7,0.250815344,0.010822604,0.002,0.006,1,7,Gm39041
Capn7.7,0.250820425,-0.009367608,0.055,0.065,1,7,Capn7
Gm43859.7,0.251065758,0.015936293,0.009,0.006,1,7,Gm43859
Avl9.7,0.25109383,0.011866105,0.026,0.034,1,7,Avl9
Stard6.7,0.25112493,0.027214688,0.005,0.003,1,7,Stard6
Spg11.7,0.251138075,-0.037089779,0.016,0.022,1,7,Spg11
Thap2.7,0.251227351,0.037110447,0.08,0.091,1,7,Thap2
AU040320.7,0.251239797,-0.015535133,0.035,0.043,1,7,AU040320
Map10.7,0.251247681,0.009945877,0.005,0.003,1,7,Map10
Zfp964.7,0.251278375,0.01149409,0.005,0.003,1,7,Zfp964
Tlr3.7,0.251363229,-0.014090405,0.022,0.029,1,7,Tlr3
Nudt4.7,0.2515608,-0.029445856,0.312,0.333,1,7,Nudt4
Birc2.7,0.251603941,-0.069415995,0.081,0.092,1,7,Birc2
Lipo3.7,0.251665194,0.048631806,0.031,0.025,1,7,Lipo3
Rnf40.7,0.251720734,-0.007141034,0.035,0.043,1,7,Rnf40
Thumpd1.7,0.252000497,0.032744357,0.099,0.088,1,7,Thumpd1
Tsfm.7,0.252075771,0.024815774,0.073,0.063,1,7,Tsfm
Samd1.7,0.252272828,-0.021621131,0.027,0.035,1,7,Samd1
Ncbp2.7,0.252377688,0.070039945,0.189,0.173,1,7,Ncbp2
Gm42551.7,0.252378956,0.004361039,0.01,0.015,1,7,Gm42551
Utp15.7,0.252525666,-0.004277381,0.036,0.029,1,7,Utp15
Dad1.7,0.252546285,-0.017523222,0.431,0.456,1,7,Dad1
Crlf1.7,0.252564436,0.004499549,0.04,0.032,1,7,Crlf1
Atg7.7,0.252705752,-0.048856098,0.061,0.071,1,7,Atg7
Csnk1g2.7,0.252937112,0.01376073,0.142,0.126,1,7,Csnk1g2
Gm15501.7,0.252960814,0.001860182,0.007,0.005,1,7,Gm15501
Catspere2.7,0.252970587,0.007383118,0.005,0.003,1,7,Catspere2
Tpd52l1.7,0.253063118,0.001895274,0.005,0.003,1,7,Tpd52l1
Slc50a1.7,0.253097845,0.059118533,0.174,0.158,1,7,Slc50a1
Rbm8a2.7,0.253103134,0.021530357,0.024,0.018,1,7,Rbm8a2
Chtop.7,0.25317499,-0.064018644,0.139,0.152,1,7,Chtop
Lsm14b.7,0.253179972,-0.047458777,0.051,0.06,1,7,Lsm14b
Crygn.7,0.253212681,-0.020964718,0.004,0.007,1,7,Crygn
Pex12.7,0.253218282,0.025115118,0.024,0.018,1,7,Pex12
Zfp148.7,0.253257893,0.089091781,0.255,0.24,1,7,Zfp148
Prkx.7,0.253506797,-0.058774693,0.067,0.077,1,7,Prkx
Gm7143.7,0.253580351,0.001408794,0.113,0.1,1,7,Gm7143
Zfp11.7,0.253597653,0.013676013,0.006,0.004,1,7,Zfp11
