,p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene
Gm14303.3,0.887521256,-0.012393636,0.032,0.031,1,3,Gm14303
Lrrc45.3,0.887528105,-0.053542022,0.063,0.064,1,3,Lrrc45
Rfx5.3,0.887536472,-0.009228432,0.009,0.009,1,3,Rfx5
Lrmda.3,0.887558466,-0.017291324,0.022,0.021,1,3,Lrmda
9530003O04Rik.3,0.888029083,-0.002772333,0.002,0.002,1,3,9530003O04Rik
Rasgrp4.3,0.888076326,-0.004005947,0.002,0.002,1,3,Rasgrp4
Gm6520.3,0.888218057,-0.002789696,0.002,0.002,1,3,Gm6520
Jrk.3,0.888265301,-0.005083608,0.002,0.002,1,3,Jrk
D330050G23Rik.3,0.888358152,-2.73E-05,0.007,0.006,1,3,D330050G23Rik
Rfc2.3,0.888380889,-0.047125418,0.086,0.084,1,3,Rfc2
Rpl3-ps1.3,0.888436457,-0.04906987,0.073,0.071,1,3,Rpl3-ps1
Slc12a4.3,0.8885658,-0.051693002,0.123,0.12,1,3,Slc12a4
Lonrf3.3,0.888729495,-0.005462998,0.008,0.009,1,3,Lonrf3
Lpcat1.3,0.888987259,-0.032636218,0.08,0.079,1,3,Lpcat1
Lcmt1.3,0.889135955,-0.045950491,0.062,0.063,1,3,Lcmt1
Wdr25.3,0.889150618,-0.002591846,0.005,0.005,1,3,Wdr25
Hprt.3,0.889238029,-0.03688703,0.141,0.141,1,3,Hprt
Zfp119b.3,0.889338838,-0.00409791,0.004,0.004,1,3,Zfp119b
Zc3h4.3,0.889411154,-0.032137766,0.046,0.047,1,3,Zc3h4
E2f3.3,0.889434981,-0.028083309,0.039,0.038,1,3,E2f3
Spata7.3,0.889534032,-0.027261051,0.012,0.012,1,3,Spata7
Rpl36a.3,0.889551653,-0.062801008,0.798,0.709,1,3,Rpl36a
mt-Co1.3,0.889749186,-0.108319271,0.579,0.537,1,3,mt-Co1
Gm37070.3,0.889835083,-0.003279849,0.004,0.004,1,3,Gm37070
