,p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene
Lrrcc1.9,0.779308686,0.087779981,0.11,0.109,1,9,Lrrcc1
D430020J02Rik.9,0.779804318,0.01543259,0.005,0.006,1,9,D430020J02Rik
Sgf29.9,0.779810773,0.039692485,0.038,0.041,1,9,Sgf29
Rbm8a2.9,0.779836096,0.034713453,0.02,0.018,1,9,Rbm8a2
Zfp180.9,0.779845971,0.043930586,0.061,0.059,1,9,Zfp180
Galnt4.9,0.78003906,0.052515164,0.023,0.025,1,9,Galnt4
Zfp46.9,0.780137889,0.046192225,0.028,0.026,1,9,Zfp46
Tsen54.9,0.780356299,0.021847874,0.013,0.012,1,9,Tsen54
Rgs20.9,0.78040148,0.005318742,0.005,0.006,1,9,Rgs20
Gm2814.9,0.780457445,0.00499163,0.007,0.008,1,9,Gm2814
Abca6.9,0.780506838,0.022127866,0.084,0.088,1,9,Abca6
Gm11889.9,0.780545703,0.038947557,0.016,0.015,1,9,Gm11889
Deaf1.9,0.780550598,0.045990036,0.046,0.049,1,9,Deaf1
Zbtb40.9,0.780766363,0.009724976,0.01,0.011,1,9,Zbtb40
Dhdds.9,0.780961198,0.051904961,0.054,0.053,1,9,Dhdds
Plekhh2.9,0.781193893,0.026619849,0.057,0.056,1,9,Plekhh2
Mblac1.9,0.781302933,0.004690507,0.007,0.008,1,9,Mblac1
Klhl24.9,0.781464698,0.086460086,0.122,0.122,1,9,Klhl24
Bend6.9,0.781816423,0.059371421,0.026,0.025,1,9,Bend6
Gm15446.9,0.781919635,0.035498417,0.025,0.023,1,9,Gm15446
Lrig1.9,0.781921178,0.034400774,0.033,0.035,1,9,Lrig1
Vrk2.9,0.782061851,0.016608301,0.026,0.025,1,9,Vrk2
Plekhg2.9,0.78232694,0.074419985,0.056,0.06,1,9,Plekhg2
Dtx3.9,0.782327529,0.082654242,0.164,0.176,1,9,Dtx3
Zfp398.9,0.782366104,0.015334679,0.031,0.034,1,9,Zfp398
Zfp598.9,0.782718579,0.063733909,0.059,0.058,1,9,Zfp598
Gm37733.9,0.782820032,0.029809601,0.013,0.012,1,9,Gm37733
Gm20274.9,0.782966727,0.009397701,0.015,0.016,1,9,Gm20274
Spice1.9,0.782979216,0.00638806,0.066,0.069,1,9,Spice1
Tfb2m.9,0.783238478,-0.004836962,0.023,0.025,1,9,Tfb2m
Angptl3.9,0.783377541,-0.013222235,0.011,0.013,1,9,Angptl3
C030032O16Rik.9,0.783389222,0.018434139,0.005,0.006,1,9,C030032O16Rik
Fam149b.9,0.783446045,0.052387918,0.044,0.048,1,9,Fam149b
Wbp4.9,0.783506912,0.10188263,0.199,0.218,1,9,Wbp4
Slc39a7.9,0.783519746,0.049721133,0.016,0.018,1,9,Slc39a7
Gm45464.9,0.78387826,-0.004742869,0.002,0.002,1,9,Gm45464
Mbtps1.9,0.784018168,0.066995107,0.14,0.15,1,9,Mbtps1
Myot.9,0.784050295,-0.040190333,0.003,0.004,1,9,Myot
Gpd1.9,0.784104282,-0.007672906,0.002,0.002,1,9,Gpd1
Gm21887.9,0.784164806,0.012431012,0.013,0.012,1,9,Gm21887
Fbxl19.9,0.78430519,0.001023539,0.016,0.018,1,9,Fbxl19
Gm10400.9,0.784405672,-0.005092421,0.002,0.002,1,9,Gm10400
Pld6.9,0.784481025,-0.002292863,0.002,0.002,1,9,Pld6
Prox2os.9,0.784707095,-0.000945762,0.002,0.002,1,9,Prox2os
BC002059.9,0.784708943,0.070297467,0.023,0.025,1,9,BC002059
C920021L13Rik.9,0.784827414,-0.010416429,0.003,0.004,1,9,C920021L13Rik
Gm10941.9,0.784915264,0.026422096,0.01,0.009,1,9,Gm10941
Gm16372.9,0.784933184,-0.001283199,0.002,0.002,1,9,Gm16372
Lrpap1.9,0.785013461,0.093119889,0.243,0.268,1,9,Lrpap1
Gm27003.9,0.785083919,-0.000575317,0.002,0.002,1,9,Gm27003
Zbtb8a.9,0.785113433,0.030388833,0.025,0.023,1,9,Zbtb8a
Gm6155.9,0.78515929,0.000556897,0.002,0.002,1,9,Gm6155
Cybb.9,0.78515929,-0.001099594,0.002,0.002,1,9,Cybb
Ip6k1.9,0.785191182,0.099570066,0.151,0.155,1,9,Ip6k1
Gpr68.9,0.785234663,0.002005028,0.002,0.002,1,9,Gpr68
Gm29322.9,0.785234663,0.000958707,0.002,0.002,1,9,Gm29322
Eef2k.9,0.785238477,0.001907375,0.054,0.057,1,9,Eef2k
Ids.9,0.785298173,0.06869773,0.079,0.078,1,9,Ids
Map3k2.9,0.785306187,0.116821355,0.143,0.145,1,9,Map3k2
Acsl6.9,0.785385415,0.003358258,0.002,0.002,1,9,Acsl6
Ptges.9,0.78545548,0.06922286,0.113,0.122,1,9,Ptges
Gm5626.9,0.785460794,0.003648685,0.002,0.002,1,9,Gm5626
Gm14167.9,0.785460794,0.002482869,0.002,0.002,1,9,Gm14167
