,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
COL10A1,0,1.082183351,0.698,0.167,0
COL11A1,0,2.534532484,0.938,0.269,0
COL12A1,0,2.097239346,0.991,0.768,0
NRP2,0,1.222136109,0.909,0.243,0
TNC,0,1.670508898,0.729,0.146,0
FN1,1.12E-304,1.962665057,1,0.977,1.60E-300
IGFL2,1.75E-302,1.084948329,0.371,0.031,2.50E-298
COL5A2,2.89E-278,1.065981247,1,0.922,4.13E-274
COL8A1,4.82E-273,1.465016432,0.942,0.46,6.89E-269
INHBA,2.31E-264,1.311853956,0.853,0.333,3.30E-260
RARRES2,8.29E-238,1.271776526,0.988,0.826,1.18E-233
PTN,4.70E-225,1.207703113,0.926,0.41,6.73E-221
PLA2G2A,2.55E-213,-3.859043267,0.409,0.754,3.65E-209
COL1A2,8.23E-211,0.912258992,1,0.991,1.18E-206
SEMA3A,1.98E-205,0.354347391,0.425,0.077,2.83E-201
COL1A1,5.05E-202,1.014220997,1,0.992,7.23E-198
TGFBR3,4.33E-174,-1.31239404,0.567,0.797,6.19E-170
COL8A2,4.27E-158,0.695715797,0.869,0.468,6.11E-154
COL16A1,3.10E-154,0.593324714,0.892,0.473,4.44E-150
CCL11,6.73E-153,0.373380562,0.171,0.01,9.63E-149
GAS6,2.91E-150,0.955095761,0.921,0.585,4.16E-146
PLAUR,1.51E-148,0.560633316,0.833,0.425,2.15E-144
LEPR,7.12E-147,-1.354189875,0.202,0.577,1.02E-142
PDGFC,8.08E-111,0.388069748,0.638,0.275,1.16E-106
MDK,7.90E-95,0.561589934,0.921,0.61,1.13E-90
IL6ST,2.18E-91,-0.695185178,0.936,0.896,3.12E-87
COL5A1,9.57E-91,0.607428527,0.999,0.897,1.37E-86
CD55,9.87E-84,-1.559197946,0.782,0.772,1.41E-79
COL3A1,2.46E-76,0.534226252,1,0.99,3.52E-72
OMD,7.17E-76,0.491895286,0.891,0.652,1.03E-71
GDF10,7.45E-73,-0.59568999,0.112,0.381,1.07E-68
COL6A6,4.50E-67,0.267224325,0.208,0.054,6.43E-63
BMP7,1.45E-65,-0.410913585,0.034,0.27,2.07E-61
C3,3.96E-65,-0.932579217,0.917,0.913,5.66E-61
COL6A3,7.00E-60,0.620505544,1,0.96,1.00E-55
COL14A1,2.04E-56,0.408823353,0.992,0.896,2.91E-52
WNT2,1.56E-51,0.373525461,0.633,0.376,2.24E-47
WNT4,2.05E-45,-0.388845456,0.018,0.189,2.93E-41
F10,1.15E-38,-0.26983818,0.025,0.179,1.64E-34
IL33,3.45E-38,-0.258760341,0.067,0.234,4.94E-34
NAMPT,3.35E-35,-0.538010142,0.526,0.593,4.80E-31
FGF7,2.42E-33,0.39029773,0.892,0.714,3.46E-29
COL6A1,7.80E-32,0.443260073,1,0.978,1.12E-27
EGFR,6.31E-31,-0.399280565,0.567,0.612,9.03E-27
ANXA1,2.99E-28,-0.270438324,0.998,0.983,4.27E-24
FBN1,2.53E-24,-1.185441904,0.998,0.944,3.62E-20
KITLG,2.64E-24,-0.296076023,0.234,0.356,3.77E-20
PROS1,5.55E-21,-0.330719033,0.554,0.587,7.93E-17
PGF,8.93E-21,-0.280056171,0.087,0.197,1.28E-16
FGF18,9.99E-19,0.376279587,0.417,0.282,1.43E-14
PDGFD,1.98E-17,-0.319074075,0.492,0.541,2.83E-13
PENK,5.46E-15,-0.718104195,0.05,0.13,7.81E-11
VEGFA,1.04E-13,-0.33627282,0.543,0.536,1.49E-09
TIMP1,3.02E-08,1.044882393,0.998,0.984,0.000432064
ADM,5.17E-07,-0.359832141,0.348,0.38,0.00739275
CXCL12,3.59E-05,-0.326184733,0.961,0.906,0.5136051
NRP1,0.018476677,-0.276303753,0.581,0.507,1
CXCL2,0.043566225,-0.254353428,0.274,0.276,1
SPP1,0.090226192,-0.694868043,0.723,0.607,1
