,p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene
Vgll2.15,2.75E-181,1.404508979,0.264,0.006,4.86E-177,15,Vgll2
Clic5.15,5.12E-180,0.880065925,0.138,0.001,9.06E-176,15,Clic5
Xirp1.15,2.23E-166,0.736662013,0.103,0.001,3.95E-162,15,Xirp1
Hrc.15,9.11E-165,1.857063645,0.253,0.006,1.61E-160,15,Hrc
Cav3.15,9.79E-154,1.031589891,0.161,0.002,1.73E-149,15,Cav3
Des.15,4.88E-152,2.549801294,0.736,0.064,8.64E-148,15,Des
Nmrk2.15,1.78E-151,1.306876273,0.207,0.004,3.15E-147,15,Nmrk2
Jsrp1.15,2.98E-150,1.604936799,0.356,0.014,5.27E-146,15,Jsrp1
Tnni1.15,2.10E-148,1.419220065,0.161,0.002,3.72E-144,15,Tnni1
Ryr1.15,2.60E-137,1.138996945,0.149,0.002,4.61E-133,15,Ryr1
Padi2.15,2.65E-136,0.640916429,0.115,0.001,4.69E-132,15,Padi2
Pygm.15,1.12E-134,2.036901095,0.391,0.019,1.98E-130,15,Pygm
Ampd1.15,6.64E-132,1.093321311,0.172,0.003,1.17E-127,15,Ampd1
Bex1.15,5.00E-126,0.71714011,0.126,0.002,8.84E-122,15,Bex1
Ank1.15,1.46E-123,1.663469536,0.356,0.017,2.58E-119,15,Ank1
Mylk4.15,1.96E-121,0.94943886,0.115,0.001,3.47E-117,15,Mylk4
Gm44386.15,1.22E-117,0.610328125,0.103,0.001,2.16E-113,15,Gm44386
Ppp1r1a.15,1.53E-117,0.751681762,0.149,0.003,2.70E-113,15,Ppp1r1a
Tmem52.15,5.02E-114,0.829971967,0.149,0.003,8.89E-110,15,Tmem52
Rbfox1.15,8.08E-111,0.993814286,0.184,0.005,1.43E-106,15,Rbfox1
Tmem38a.15,1.63E-110,1.481883285,0.299,0.013,2.88E-106,15,Tmem38a
Mylk2.15,5.20E-107,1.152629516,0.138,0.003,9.20E-103,15,Mylk2
Cacng1.15,1.10E-105,1.124002331,0.149,0.003,1.94E-101,15,Cacng1
Asb11.15,3.52E-101,0.647852498,0.103,0.001,6.24E-97,15,Asb11
Gpd1.15,2.60E-93,0.851116222,0.103,0.002,4.60E-89,15,Gpd1
Atcayos.15,7.84E-92,1.012288991,0.218,0.008,1.39E-87,15,Atcayos
A930003A15Rik.15,1.40E-88,0.448522755,0.08,0.001,2.48E-84,15,A930003A15Rik
Tnnt2.15,1.23E-86,1.502789961,0.149,0.004,2.18E-82,15,Tnnt2
Sox6.15,6.96E-85,0.777139441,0.138,0.003,1.23E-80,15,Sox6
Bves.15,1.17E-84,0.597972655,0.092,0.001,2.07E-80,15,Bves
Gm29773.15,1.24E-84,0.393741108,0.092,0.001,2.20E-80,15,Gm29773
Tpm2.15,4.45E-84,3.712142711,0.862,0.19,7.88E-80,15,Tpm2
Pdlim3.15,3.20E-76,1.005081846,0.195,0.008,5.67E-72,15,Pdlim3
Mef2c.15,3.68E-73,2.549747149,0.655,0.108,6.51E-69,15,Mef2c
Lmcd1.15,5.09E-73,1.502602193,0.241,0.013,9.01E-69,15,Lmcd1
Myhas.15,3.13E-71,0.573017854,0.057,0.001,5.54E-67,15,Myhas
Dusp26.15,6.22E-71,0.61136493,0.069,0.001,1.10E-66,15,Dusp26
Rbm24.15,2.09E-69,0.662182033,0.138,0.004,3.70E-65,15,Rbm24
Abcb4.15,5.90E-69,0.51387888,0.08,0.001,1.04E-64,15,Abcb4
Myoz3.15,2.30E-68,0.622311417,0.092,0.002,4.07E-64,15,Myoz3
Myom1.15,1.50E-64,1.035716371,0.161,0.007,2.65E-60,15,Myom1
Cap2.15,1.41E-63,1.05574953,0.195,0.01,2.50E-59,15,Cap2
Klhl40.15,2.25E-63,0.71878437,0.115,0.003,3.99E-59,15,Klhl40
Pde4dip.15,3.71E-63,2.124408494,0.471,0.06,6.56E-59,15,Pde4dip
Ip6k3.15,1.08E-62,0.393605628,0.069,0.001,1.91E-58,15,Ip6k3
Slc2a4.15,2.25E-62,0.938462409,0.115,0.003,3.98E-58,15,Slc2a4
Coq8a.15,6.34E-60,0.952967983,0.207,0.012,1.12E-55,15,Coq8a
Pfkm.15,1.37E-55,1.62706127,0.368,0.041,2.42E-51,15,Pfkm
Synpo2.15,8.03E-54,1.366106837,0.253,0.02,1.42E-49,15,Synpo2
Fgf13.15,9.24E-54,0.458759531,0.092,0.002,1.64E-49,15,Fgf13
Tnnt1.15,1.10E-53,2.591759009,0.218,0.015,1.95E-49,15,Tnnt1
Tuba4a.15,1.98E-52,1.561055717,0.322,0.033,3.50E-48,15,Tuba4a
Gm7556.15,9.39E-52,0.270974037,0.057,0.001,1.66E-47,15,Gm7556
Tpm1.15,1.87E-51,3.526446111,0.92,0.469,3.31E-47,15,Tpm1
Rragd.15,1.92E-51,0.823887032,0.161,0.008,3.39E-47,15,Rragd
Srl.15,3.97E-51,0.466483194,0.08,0.002,7.03E-47,15,Srl
Cystm1.15,1.09E-48,1.161427755,0.287,0.028,1.94E-44,15,Cystm1
Coro6.15,2.15E-48,0.681721063,0.126,0.005,3.81E-44,15,Coro6
Ubac1.15,4.51E-46,1.845056089,0.46,0.077,7.99E-42,15,Ubac1
Gmpr.15,3.41E-45,0.631865763,0.092,0.003,6.03E-41,15,Gmpr
Asb14.15,3.74E-45,0.817611412,0.092,0.003,6.63E-41,15,Asb14
