,p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene
Tob2.1,0.004986343,-0.145483766,0.279,0.23,1,1,Tob2
Zfp748.1,0.004992286,0.001121731,0.011,0.006,1,1,Zfp748
Relt.1,0.004995232,0.003259234,0.006,0.003,1,1,Relt
Gprin3.1,0.004997397,0.01070795,0.012,0.007,1,1,Gprin3
Fancc.1,0.004999452,-0.017184466,0.038,0.028,1,1,Fancc
Cachd1.1,0.005000846,-0.054569167,0.102,0.083,1,1,Cachd1
Gm43154.1,0.00500126,0.007844776,0.004,0.002,1,1,Gm43154
Ssh2.1,0.005003349,-0.038588164,0.161,0.136,1,1,Ssh2
Cth.1,0.005005913,0.004826149,0.004,0.002,1,1,Cth
Rpsa-ps9.1,0.005006353,0.004760184,0.004,0.001,1,1,Rpsa-ps9
Gm44441.1,0.005010569,0.005601264,0.004,0.002,1,1,Gm44441
Dreh.1,0.005011626,0.001033965,0.002,0.001,1,1,Dreh
Gm16036.1,0.005016235,0.005147416,0.004,0.001,1,1,Gm16036
Gm8805.1,0.005020357,0.005851822,0.004,0.001,1,1,Gm8805
Gm15513.1,0.005020668,0.001391083,0.002,0.001,1,1,Gm15513
Ciita.1,0.005024063,0.00108578,0.002,0.001,1,1,Ciita
Enpp6.1,0.005036248,0.007890245,0.004,0.002,1,1,Enpp6
Gm47586.1,0.005041844,0.006876909,0.004,0.001,1,1,Gm47586
Bbs10.1,0.005049301,0.001089361,0.004,0.001,1,1,Bbs10
Drc3.1,0.005051789,0.003397754,0.004,0.001,1,1,Drc3
A230059L01Rik.1,0.005056768,0.002247782,0.004,0.001,1,1,A230059L01Rik
Uqcc1.1,0.005059322,-0.039367967,0.06,0.047,1,1,Uqcc1
Eif5al3-ps.1,0.005064398,0.00035603,0.004,0.002,1,1,Eif5al3-ps
Gm5580.1,0.005065077,0.00062922,0.004,0.001,1,1,Gm5580
Gm29292.1,0.005065182,0.000415028,0.004,0.002,1,1,Gm29292
Ppp1r14c.1,0.005065461,-0.023102277,0.001,0.004,1,1,Ppp1r14c
Gm16835.1,0.005067572,-0.001685031,0.004,0.001,1,1,Gm16835
Gm36989.1,0.005069235,-0.000473911,0.004,0.001,1,1,Gm36989
1700109K24Rik.1,0.005076169,0.000261273,0.004,0.002,1,1,1700109K24Rik
Myom2.1,0.005080217,0.058612832,0.016,0.01,1,1,Myom2
